,n,index,virt_addr,latency,r,set,hit_cluster,round
0,24704.0,19616.0,140605942418592.0,78.0,0,1.0,0,0.0
1,24704.0,19648.0,140605942418624.0,82.0,0,1.0,0,0.0
2,24704.0,19680.0,140605942418656.0,81.0,0,1.0,0,0.0
3,24704.0,19712.0,140605942418688.0,83.0,0,1.0,0,0.0
4,24704.0,19744.0,140605942418720.0,78.0,0,1.0,0,0.0
5,24704.0,19776.0,140605942418752.0,82.0,0,1.0,0,0.0
6,24704.0,19808.0,140605942418784.0,81.0,0,1.0,0,0.0
7,24704.0,19840.0,140605942418816.0,83.0,0,1.0,0,0.0
8,24704.0,19872.0,140605942418848.0,219.0,0,1.0,1,0.0
9,24704.0,19904.0,140605942418880.0,224.0,0,1.0,2,0.0
10,24704.0,19936.0,140605942418912.0,223.0,0,1.0,2,0.0
11,24704.0,19968.0,140605942418944.0,225.0,0,1.0,2,0.0
12,24704.0,20000.0,140605942418976.0,78.0,0,1.0,0,0.0
13,24704.0,20032.0,140605942419008.0,82.0,0,1.0,0,0.0
14,24704.0,20064.0,140605942419040.0,81.0,0,1.0,0,0.0
15,24704.0,20096.0,140605942419072.0,83.0,0,1.0,0,0.0
16,24704.0,20128.0,140605942419104.0,213.0,0,1.0,1,0.0
17,24704.0,20160.0,140605942419136.0,215.0,0,1.0,1,0.0
18,24704.0,20192.0,140605942419168.0,215.0,0,1.0,1,0.0
19,24704.0,20224.0,140605942419200.0,216.0,0,1.0,1,0.0
20,24704.0,20256.0,140605942419232.0,78.0,0,1.0,0,0.0
21,24704.0,20288.0,140605942419264.0,82.0,0,1.0,0,0.0
22,24704.0,20320.0,140605942419296.0,81.0,0,1.0,0,0.0
23,24704.0,20352.0,140605942419328.0,83.0,0,1.0,0,0.0
24,24704.0,20384.0,140605942419360.0,78.0,0,1.0,0,0.0
25,24704.0,20416.0,140605942419392.0,82.0,0,1.0,0,0.0
26,24704.0,20448.0,140605942419424.0,81.0,0,1.0,0,0.0
27,24704.0,20480.0,140605942419456.0,83.0,0,1.0,0,0.0
28,24704.0,20512.0,140605942419488.0,78.0,0,1.0,0,0.0
29,24704.0,20544.0,140605942419520.0,82.0,0,1.0,0,0.0
30,24704.0,20576.0,140605942419552.0,81.0,0,1.0,0,0.0
31,24704.0,20608.0,140605942419584.0,83.0,0,1.0,0,0.0
32,24704.0,20640.0,140605942419616.0,212.0,0,1.0,1,0.0
33,24704.0,20672.0,140605942419648.0,215.0,0,1.0,1,0.0
34,24704.0,20704.0,140605942419680.0,214.0,0,1.0,1,0.0
35,24704.0,20736.0,140605942419712.0,217.0,0,1.0,1,0.0
36,24704.0,20768.0,140605942419744.0,78.0,0,1.0,0,0.0
37,24704.0,20800.0,140605942419776.0,82.0,0,1.0,0,0.0
38,24704.0,20832.0,140605942419808.0,81.0,0,1.0,0,0.0
39,24704.0,20864.0,140605942419840.0,83.0,0,1.0,0,0.0
40,24704.0,20896.0,140605942419872.0,78.0,0,1.0,0,0.0
41,24704.0,20928.0,140605942419904.0,82.0,0,1.0,0,0.0
42,24704.0,20960.0,140605942419936.0,81.0,0,1.0,0,0.0
43,24704.0,20992.0,140605942419968.0,83.0,0,1.0,0,0.0
44,24704.0,21024.0,140605942420000.0,78.0,0,1.0,0,0.0
45,24704.0,21056.0,140605942420032.0,82.0,0,1.0,0,0.0
46,24704.0,21088.0,140605942420064.0,81.0,0,1.0,0,0.0
47,24704.0,21120.0,140605942420096.0,83.0,0,1.0,0,0.0
48,24704.0,21152.0,140605942420128.0,78.0,0,1.0,0,0.0
49,24704.0,21184.0,140605942420160.0,82.0,0,1.0,0,0.0
50,24704.0,21216.0,140605942420192.0,81.0,0,1.0,0,0.0
51,24704.0,21248.0,140605942420224.0,83.0,0,1.0,0,0.0
52,24704.0,21280.0,140605942420256.0,78.0,0,1.0,0,0.0
53,24704.0,21312.0,140605942420288.0,82.0,0,1.0,0,0.0
54,24704.0,21344.0,140605942420320.0,81.0,0,1.0,0,0.0
55,24704.0,21376.0,140605942420352.0,83.0,0,1.0,0,0.0
56,24704.0,21408.0,140605942420384.0,216.0,0,1.0,1,0.0
57,24704.0,21440.0,140605942420416.0,220.0,0,1.0,2,0.0
58,24704.0,21472.0,140605942420448.0,218.0,0,1.0,1,0.0
59,24704.0,21504.0,140605942420480.0,221.0,0,1.0,2,0.0
60,24704.0,21536.0,140605942420512.0,78.0,0,1.0,0,0.0
61,24704.0,21568.0,140605942420544.0,82.0,0,1.0,0,0.0
62,24704.0,21600.0,140605942420576.0,81.0,0,1.0,0,0.0
63,24704.0,21632.0,140605942420608.0,83.0,0,1.0,0,0.0
