,n,index,virt_addr,latency,hit_cluster,round,r
0,1024.0,8.0,139961697304584.0,78.0,0,0.0,0
1,1024.0,16.0,139961697304592.0,82.0,0,0.0,0
2,1024.0,24.0,139961697304600.0,81.0,0,0.0,0
3,1024.0,32.0,139961697304608.0,83.0,0,0.0,0
4,1024.0,40.0,139961697304616.0,78.0,0,0.0,0
5,1024.0,48.0,139961697304624.0,82.0,0,0.0,0
6,1024.0,56.0,139961697304632.0,81.0,0,0.0,0
7,1024.0,64.0,139961697304640.0,83.0,0,0.0,0
8,1024.0,72.0,139961697304648.0,78.0,0,0.0,0
9,1024.0,80.0,139961697304656.0,82.0,0,0.0,0
10,1024.0,88.0,139961697304664.0,81.0,0,0.0,0
11,1024.0,96.0,139961697304672.0,83.0,0,0.0,0
12,1024.0,104.0,139961697304680.0,78.0,0,0.0,0
13,1024.0,112.0,139961697304688.0,82.0,0,0.0,0
14,1024.0,120.0,139961697304696.0,81.0,0,0.0,0
15,1024.0,128.0,139961697304704.0,83.0,0,0.0,0
16,1024.0,136.0,139961697304712.0,78.0,0,0.0,0
17,1024.0,144.0,139961697304720.0,82.0,0,0.0,0
18,1024.0,152.0,139961697304728.0,81.0,0,0.0,0
19,1024.0,160.0,139961697304736.0,83.0,0,0.0,0
20,1024.0,168.0,139961697304744.0,78.0,0,0.0,0
21,1024.0,176.0,139961697304752.0,82.0,0,0.0,0
22,1024.0,184.0,139961697304760.0,81.0,0,0.0,0
23,1024.0,192.0,139961697304768.0,83.0,0,0.0,0
24,1024.0,200.0,139961697304776.0,78.0,0,0.0,0
25,1024.0,208.0,139961697304784.0,82.0,0,0.0,0
26,1024.0,216.0,139961697304792.0,81.0,0,0.0,0
27,1024.0,224.0,139961697304800.0,83.0,0,0.0,0
28,1024.0,232.0,139961697304808.0,78.0,0,0.0,0
29,1024.0,240.0,139961697304816.0,82.0,0,0.0,0
30,1024.0,248.0,139961697304824.0,81.0,0,0.0,0
31,1024.0,256.0,139961697304832.0,83.0,0,0.0,0
32,1024.0,264.0,139961697304840.0,78.0,0,0.0,0
33,1024.0,272.0,139961697304848.0,82.0,0,0.0,0
